x,y,z,dx,dy,dz,xx,yy,zz,dxx,dyy,dzz,label
0.01,0.014,1.008,0.002,0,-0.001,-0.061,0.488,0.061,0,0.061,0,0
0.011,0.014,1.008,0.001,-0.001,-0.001,-0.122,0.488,0,-0.061,0,-0.061,0
0.01,0.015,1.009,-0.001,0.001,0.001,-0.122,0.366,0.061,0,-0.122,0.061,0
0.01,0.015,1.008,0,0.001,-0.001,-0.122,0.366,0,0,0,-0.061,0
0.01,0.015,1.009,-0.001,-0.001,0.001,-0.122,0.427,0,0,0.061,0,0
0.01,0.014,1.008,0,0,-0.001,-0.122,0.488,0,0,0.061,0,0
0.01,0.014,1.009,-0.001,0,0.002,-0.061,0.488,0,0.061,0,0,0
0.008,0.016,1.009,-0.002,0.002,-0.001,-0.061,0.427,0.061,0,-0.061,0.061,0
0.006,0.017,1.011,-0.002,0.001,0.002,-0.061,0.427,0,0,0,-0.061,0
0.009,0.016,1.009,0.003,-0.001,-0.002,-0.061,0.427,0,0,0,0,0
0.008,0.015,1.009,-0.001,0,0,-0.122,0.427,0,-0.061,0,0,0
0.009,0.014,1.009,0.001,-0.001,0,-0.061,0.427,0,0.061,0,0,0
0.008,0.014,1.009,-0.002,0,0,-0.122,0.427,0.061,-0.061,0,0.061,0
0.009,0.014,1.008,0.002,0,-0.001,-0.122,0.427,0,0,0,-0.061,0
0.009,0.016,1.009,0,0.002,0.001,-0.061,0.427,0.061,0.061,0,0.061,0
0.009,0.014,1.009,0,-0.002,0,-0.122,0.427,0,-0.061,0,-0.061,0
0.009,0.011,1.011,0,-0.003,0.002,-0.061,0.366,0,0.061,-0.061,0,0
0.009,0.013,1.009,0.001,0.002,-0.002,-0.122,0.427,0,-0.061,0.061,0,0
0.012,0.015,1.008,0.003,0.001,-0.001,-0.122,0.488,0,0,0.061,0,0
0.011,0.015,1.008,-0.001,0,0.001,-0.122,0.488,0.061,0,0,0.061,0
0.011,0.015,1.008,0,0,0,-0.061,0.427,0,0.061,-0.061,-0.061,0
0.009,0.016,1.009,-0.001,0.001,0.001,-0.061,0.488,0,0,0.061,0,0
0.009,0.016,1.01,-0.001,0,0,-0.122,0.427,0,-0.061,-0.061,0,0
0.008,0.015,1.009,-0.001,-0.001,0,-0.122,0.366,0,0,-0.061,0,0
0.007,0.016,1.01,-0.001,0.001,0,-0.061,0.427,0.061,0.061,0.061,0.061,0
0.009,0.014,1.009,0.002,-0.002,-0.001,-0.061,0.366,0,0,-0.061,-0.061,0
0.01,0.013,1.008,0.001,-0.001,-0.001,-0.061,0.488,0,0,0.122,0,0
0.008,0.015,1.01,-0.002,0.002,0.002,-0.122,0.488,0,-0.061,0,0,0
0.009,0.013,1.01,0,-0.002,0,-0.122,0.488,0,0,0,0,0
0.009,0.014,1.009,0,0.001,-0.001,-0.122,0.427,0.061,0,-0.061,0.061,0
0.009,0.014,1.009,0,0,0,-0.061,0.427,0,0.061,0,-0.061,0
0.008,0.013,1.009,-0.001,-0.001,0,-0.061,0.427,0,0,0,0,0
0.01,0.015,1.009,0.002,0.002,0,-0.061,0.427,0.061,0,0,0.061,0
0.009,0.015,1.009,-0.001,0,0,-0.061,0.427,0,0,0,-0.061,0
0.01,0.014,1.009,0,-0.001,0,-0.061,0.427,0.061,0,0,0.061,0
0.009,0.015,1.009,-0.001,0.001,-0.001,-0.061,0.427,0.061,0,0,0,0
0.01,0.015,1.009,0.001,0,0,-0.061,0.427,0,0,0,-0.061,0
0.01,0.014,1.009,0,-0.001,0,-0.122,0.427,0.061,-0.061,0,0.061,0
0.009,0.014,1.008,0,0,-0.001,-0.061,0.366,0.061,0.061,-0.061,0,0
0.01,0.015,1.008,0,0.001,0,-0.122,0.427,0,-0.061,0.061,-0.061,0
0.01,0.015,1.009,0,0,0,-0.061,0.427,0,0.061,0,0,0
0.01,0.014,1.01,0,-0.001,0.001,-0.061,0.427,0,0,0,0,0
0.01,0.015,1.009,0.001,0.001,-0.001,-0.061,0.488,0,0,0.061,0,0
0.011,0.016,1.008,0.001,0,0,-0.061,0.488,0,0,0,0,0
0.011,0.015,1.009,0,0,0.001,-0.061,0.427,0.061,0,-0.061,0.061,0
0.01,0.013,1.008,-0.001,-0.002,-0.001,-0.122,0.427,0.061,-0.061,0,0,0
0.01,0.014,1.009,0,0.001,0,-0.061,0.427,0,0.061,0,-0.061,0
0.01,0.015,1.008,0,0.001,-0.001,-0.061,0.427,0.061,0,0,0.061,0
0.012,0.014,1.011,0.002,-0.001,0.003,-0.122,0.427,0,-0.061,0,-0.061,0
0.007,0.014,1.013,-0.005,0.001,0.002,-0.122,0.366,0,0,-0.061,0,0
0.008,0.016,1.01,0.001,0.001,-0.003,-0.122,0.305,0,0,-0.061,0,0
0.009,0.014,1.008,0,-0.002,-0.002,-0.122,0.366,0,0,0.061,0,0
0.009,0.013,1.009,0,-0.001,0.001,-0.061,0.427,0,0.061,0.061,0,0
0.01,0.014,1.009,0.001,0.001,0,-0.122,0.427,0.061,-0.061,0,0.061,0
0.01,0.013,1.01,0,-0.001,0,-0.122,0.488,0.061,0,0.061,0,0
0.01,0.015,1.009,0,0.002,-0.001,-0.061,0.427,0,0.061,-0.061,-0.061,0
0.01,0.016,1.008,0,0,-0.001,-0.061,0.488,0,0,0.061,0,0
0.009,0.016,1.01,0,0,0.003,-0.061,0.488,0.061,0,0,0.061,0
0.01,0.015,1.009,0,-0.001,-0.001,-0.122,0.427,0.061,-0.061,-0.061,0,0
0.01,0.015,1.009,0,0,0,-0.061,0.427,0,0.061,0,-0.061,0
0.011,0.014,1.008,0.001,-0.001,-0.001,-0.061,0.427,0,0,0,0,0
0.007,0.015,1.009,-0.003,0.001,0.001,-0.061,0.366,0,0,-0.061,0,0
0.008,0.015,1.011,0.001,0,0.002,-0.061,0.366,0,0,0,0,0
0.009,0.014,1.009,0,0,-0.002,-0.122,0.427,0,-0.061,0.061,0,0
0.01,0.013,1.009,0.001,-0.001,0,-0.122,0.427,0,0,0,0,0
0.01,0.014,1.008,0,0.001,-0.001,-0.061,0.427,0,0.061,0,0,0
0.01,0.013,1.008,0,-0.001,0,-0.061,0.427,0,0,0,0,0
0.01,0.014,1.008,-0.001,0.001,0,-0.122,0.427,0,-0.061,0,0,0
0.01,0.015,1.009,0,0.001,0.001,-0.122,0.427,0,0,0,0,0
0.01,0.015,1.01,0,0,0,-0.122,0.427,0,0,0,0,0
0.01,0.015,1.009,0,-0.001,0,-0.061,0.427,0,0.061,0,0,0
0.009,0.016,1.009,0,0.001,-0.001,-0.122,0.427,0,-0.061,0,0,0
0.01,0.015,1.009,0.001,-0.001,0,-0.122,0.427,0.061,0,0,0.061,0
0.009,0.015,1.009,-0.001,0,0,-0.061,0.427,0,0.061,0,-0.061,0
0.01,0.014,1.009,0.001,-0.001,0,-0.061,0.427,0,0,0,0,0
0.01,0.014,1.009,0,0,0,-0.061,0.427,0,0,0,0,0
0.01,0.014,1.009,0,0,-0.001,-0.061,0.427,0.061,0,0,0.061,0
0.009,0.015,1.009,-0.001,0,0,-0.122,0.427,0,-0.061,0,-0.061,0
0.01,0.015,1.008,0,0.001,-0.001,-0.122,0.427,0.061,0,0,0.061,0
0.008,0.014,1.009,-0.001,-0.001,0,-0.122,0.366,0,0,-0.061,-0.061,0
0.011,0.014,1.008,0.003,0,0,-0.122,0.366,0,0,0,0,0
0.012,0.015,1.008,0.001,0.001,0,-0.122,0.305,0,0,-0.061,0,0
0.011,0.014,1.009,0,-0.001,0.001,-0.122,0.366,0,0,0.061,0,0
0.008,0.015,1.01,-0.003,0.001,0.002,-0.122,0.183,0,0,-0.183,0,0
0.014,0.014,1.008,0.006,-0.001,-0.003,-0.122,0.305,0,0,0.122,0,0
0.01,0.015,1.01,-0.003,0.001,0.003,-0.061,0.488,0,0.061,0.183,0,0
-0.617,0.312,0.523,0,0,0,48.828,7.019,-77.576,0,0,0,1
-0.466,0.057,0.782,0.152,-0.255,0.259,127.197,-4.456,27.588,78.369,-11.475,105.164,1
-0.613,0.13,0.716,-0.147,0.073,-0.066,-63.538,-5.676,7.751,-190.735,-1.221,-19.836,1
-0.495,0.006,0.925,0.117,-0.124,0.209,-41.016,-5.066,69.336,22.522,0.61,61.584,1
-0.511,0.163,0.927,-0.015,0.157,0.002,0.977,7.446,57.19,41.992,12.512,-12.146,1
-0.592,0.292,0.69,-0.081,0.128,-0.237,-70.801,3.418,44.617,-71.777,-4.028,-12.573,1
-0.688,0.197,0.866,-0.096,-0.094,0.176,-33.691,11.841,17.7,37.109,8.423,-26.917,1
-0.653,0.217,0.755,0.036,0.02,-0.111,-18.799,25.269,-12.268,14.893,13.428,-29.968,1
