2688,25.65,15.33,3
2304,23.75,15.33,3
2144,27.39,18.01,3
1840,29.38,21.01,3
1840,32.82,19.64,3
1856,30.64,18.75,3
1872,30.86,18.23,3
2464,-0.02,19.16,3
1856,30.76,18.44,3
1936,28.75,17.80,3
1952,31.84,18.40,3
2592,28.38,17.90,3
2448,29.40,18.80,3
2512,28.76,18.80,3
2336,27.70,20.21,3
2336,29.71,18.95,3
1840,28.64,40.82,3
2096,28.85,22.44,3
2704,30.96,-0.02,3
2640,32.41,-0.02,3
2608,31.07,-0.02,3
1904,-0.02,18.97,3
2448,26.63,16.91,3
1936,27.66,17.34,3
1920,-0.02,19.59,3
2336,51.32,18.64,3
1968,28.23,18.25,3
2160,29.60,17.87,3
2560,26.24,19.19,3
2048,27.42,17.29,3
2208,24.98,16.98,3
2480,25.19,16.68,3
2144,46.51,20.21,3
1888,27.49,18.75,3
2224,29.76,16.51,3
2000,21.48,13.92,3
1872,19.09,12.71,3
2096,16.03,13.06,3
2304,22.70,15.84,3
1920,23.99,14.38,3
2192,27.70,15.79,3
2400,25.53,16.25,3
1888,24.93,16.25,3
2512,-0.02,15.33,3
1872,28.01,18.09,3
2272,28.21,15.69,3
2560,27.87,17.35,3
2448,26.82,18.32,3
1856,27.80,17.49,3
2192,28.37,18.54,3
1968,29.83,21.34,3
2240,28.47,19.11,3
2208,29.05,19.14,3
1856,29.50,20.02,3
1856,29.02,19.18,3
2096,29.42,19.18,3
2464,29.86,19.59,3
2464,30.29,19.12,3
2512,30.65,19.59,3
2592,30.62,18.69,3
2224,30.64,19.57,3
1856,30.65,19.59,3
2080,30.64,19.57,3
1856,30.64,19.11,3
1712,30.58,19.11,3
1872,31.01,19.12,3
2000,31.01,19.11,3
2608,31.01,19.12,3
2576,30.55,19.11,3
2064,30.14,19.12,3
2400,29.66,19.14,3
1888,29.59,19.12,3
1952,30.45,19.11,3
1856,29.52,19.07,3
2272,29.95,19.11,3
2304,29.52,19.11,3
2624,29.50,19.11,3
2112,29.47,18.68,3
2304,29.45,18.68,3
1872,29.00,19.52,3
1888,30.67,19.12,3
1936,30.60,19.52,3
2416,32.15,19.14,3
2592,29.21,18.73,3
2160,31.94,20.00,3
2144,34.11,19.11,3
2448,28.85,19.12,3
2320,29.09,19.07,3
2400,-0.02,24.55,3
1872,29.76,16.22,3
2448,23.66,16.15,3
1984,23.11,15.33,3
2480,20.15,13.56,3
1920,30.09,13.93,3
1888,23.85,15.12,3
1920,27.29,20.91,3
2496,63.28,19.93,3
1984,29.66,19.33,3
1872,-0.02,39.26,3
1952,28.38,19.02,3
1952,25.19,16.72,3
2688,30.70,20.05,3
2256,32.29,21.08,3
2448,28.93,39.21,3
1968,21.56,15.26,3
2176,20.33,14.81,3
2448,28.08,-0.02,3
2480,-0.02,19.90,3
2208,-0.02,21.34,3
2176,24.52,16.19,3
2096,20.27,14.81,3
2240,23.21,17.04,3
2624,28.02,20.03,3
1936,31.51,19.42,3
1840,-0.02,21.70,3
2640,31.62,40.24,3
2144,30.81,22.47,3
2304,31.43,22.84,3
2000,29.16,23.26,3
2000,33.33,26.63,3
2688,30.70,25.79,3
2496,32.77,41.87,3
1888,29.52,-0.02,3
2176,31.62,-0.02,3
1952,30.81,-0.02,3
2496,27.04,-0.02,3
2192,29.47,-0.02,3
1872,27.51,-0.02,3
2720,29.83,-0.02,3
2432,-0.02,-0.02,3
2208,28.88,-0.02,3
2336,31.82,-0.02,3
2672,31.44,-0.02,3
2224,30.64,-0.02,3
1920,27.41,19.62,3
1920,27.59,20.41,3
2320,27.63,17.92,3
2112,34.97,17.89,3
2592,28.44,18.28,3
2192,-0.02,17.92,3
2528,28.63,18.40,3
2080,28.32,17.39,3
2288,32.39,18.75,3
2592,29.35,19.64,3
1936,30.96,17.80,3
1968,30.48,18.13,3
1920,29.28,18.16,3
2560,-0.02,17.75,3
1888,29.09,17.70,3
2080,26.89,17.71,3
2688,-0.02,17.66,3
1840,26.60,18.52,3
1888,26.36,17.61,3
2208,33.42,17.97,3
2016,26.13,18.44,3
2272,51.84,17.77,3
2608,29.40,-0.02,3
2336,31.70,-0.02,3
2304,30.95,-0.02,3
2304,29.02,41.82,3
2000,30.89,39.85,3
1984,31.03,39.88,3
2128,-0.02,38.90,3
1920,-0.02,19.18,3
2128,26.10,18.13,3
2192,26.72,17.92,3
1984,25.53,17.49,3
2544,24.69,16.60,3
2576,26.41,16.51,3
1968,22.63,16.51,3
2624,24.38,17.87,3
2240,27.80,17.41,3
1920,28.92,-0.02,3
2352,28.92,18.23,3
2304,27.22,18.04,3
2256,26.67,17.58,3
1856,26.53,17.44,3
2448,27.44,17.44,3
2304,25.43,16.60,3
1984,26.96,16.99,3
2000,32.53,16.98,3
1936,28.68,16.98,3
2096,29.48,16.98,3
2144,29.81,16.98,3
2064,29.35,16.98,3
1808,53.99,16.99,3
2544,26.77,16.99,3
2560,26.87,16.56,3
2448,33.45,16.99,3
1952,52.77,16.55,3
2640,-0.02,16.51,3
1968,26.55,16.99,3
2192,29.95,16.98,3
2336,29.85,16.98,3
2864,29.76,16.56,3
1904,31.92,16.51,3
1920,28.95,16.53,3
2176,29.76,16.51,3
2080,32.03,16.53,3
2496,30.79,16.99,3
1952,31.10,16.98,3
1936,-0.02,16.51,3
2496,-0.02,16.53,3
2000,-0.02,16.51,3
1920,-0.02,16.94,3
2656,52.16,16.53,3
2176,32.75,16.51,3
1904,52.06,16.53,3
2000,25.67,16.92,3
1920,25.05,16.46,3
2144,24.54,16.84,3
2656,24.98,16.43,3
