1888,25.38,17.23,3
2352,24.30,17.25,3
2512,27.80,16.82,3
1936,-0.02,16.84,3
2016,35.60,17.25,3
2464,26.56,16.79,3
2256,26.01,17.20,3
2320,29.02,16.77,3
1888,28.14,16.79,3
2224,25.12,17.20,3
2176,25.50,17.18,3
1968,25.46,17.20,3
2192,25.02,17.18,3
2080,25.48,17.20,3
1952,25.40,17.18,3
2000,25.21,17.59,3
2384,25.62,17.59,3
2528,26.41,17.61,3
1952,25.58,17.59,3
2048,26.82,18.01,3
2512,26.08,17.13,3
1936,25.64,18.04,3
2672,26.48,18.02,3
2240,25.22,17.59,3
1952,25.62,17.59,3
1936,28.16,17.63,3
2128,26.55,17.61,3
2656,26.49,18.04,3
2048,26.49,17.61,3
2000,27.71,18.01,3
2464,26.87,18.02,3
2512,30.72,16.51,3
2544,26.41,17.77,3
1952,27.32,18.11,3
2688,25.98,17.66,3
2448,26.79,19.73,3
2416,26.65,18.49,3
2016,26.46,18.01,3
2480,28.47,17.56,3
2640,27.59,17.41,3
2080,25.46,17.89,3
1936,27.63,17.87,3
2544,26.82,17.87,3
2240,25.52,16.58,3
2512,21.87,38.06,3
2144,24.48,16.96,3
2448,-0.02,17.44,3
2496,26.56,17.39,3
2240,26.92,17.34,3
1984,25.89,18.06,3
2528,25.57,18.47,3
1968,26.13,18.02,3
1968,25.15,17.97,3
2368,26.08,17.49,3
2112,26.13,17.03,3
2048,24.74,16.99,3
1968,25.24,17.03,3
2208,24.43,17.04,3
2320,24.38,16.99,3
1968,24.76,17.04,3
2592,25.15,16.58,3
2448,28.20,16.56,3
1936,25.67,16.53,3
2624,23.66,17.35,3
2352,23.92,16.87,3
1984,24.38,16.87,3
2624,24.07,16.92,3
2320,24.19,16.92,3
2736,23.99,16.51,3
2576,24.05,16.51,3
1936,24.45,16.53,3
2016,24.48,16.51,3
2144,24.55,16
