  -0.647,  -0.934,  -0.098,   0.000,   0.000,   0.000
  -0.510,  -0.977,   0.034,   0.136,  -0.042,   0.131
  -0.528,  -0.501,   0.788,  -0.017,   0.476,   0.755
  -0.428,   0.004,   0.699,   0.100,   0.505,  -0.089
  -0.391,  -0.177,   0.445,   0.037,  -0.181,  -0.254
  -0.493,  -1.110,  -0.207,  -0.102,  -0.933,  -0.652
  -0.633,  -0.734,  -0.298,  -0.141,   0.376,  -0.091
  -0.447,  -1.071,   0.080,   0.186,  -0.338,   0.377
  -0.459,  -0.586,   0.719,  -0.012,   0.486,   0.639
  -0.361,   0.106,   0.723,   0.098,   0.691,   0.004
  -0.408,  -0.104,   0.535,  -0.046,  -0.210,  -0.188
  -0.602,  -1.403,   0.075,  -0.194,  -1.299,  -0.460
  -0.700,  -1.038,  -0.078,  -0.098,   0.365,  -0.153
  -0.570,  -0.767,   0.570,   0.130,   0.271,   0.647
  -0.493,  -0.247,   0.593,   0.077,   0.520,   0.023
  -0.480,   0.474,   0.529,   0.014,   0.722,  -0.064
  -0.587,   0.201,   0.289,  -0.107,  -0.274,  -0.240
  -0.951,  -1.292,  -0.019,  -0.365,  -1.492,  -0.308
  -0.642,  -0.663,   0.105,   0.309,   0.629,   0.124
  -0.712,  -0.780,   0.698,  -0.070,  -0.117,   0.592
  -0.550,   0.076,   0.493,   0.162,   0.856,  -0.205
  -0.543,   0.412,   0.607,   0.007,   0.335,   0.114
  -0.533,  -0.016,   0.561,   0.010,  -0.428,  -0.046
  -0.834,  -1.089,   0.580,  -0.301,  -1.072,   0.019
  -0.738,  -0.698,   0.290,   0.095,   0.390,  -0.290
  -0.785,  -0.328,   0.423,  -0.047,   0.371,   0.134
  -0.401,   0.203,   0.603,   0.384,   0.531,   0.180
  -0.225,   0.246,   0.821,   0.176,   0.042,   0.218
  -0.416,  -0.720,   0.870,  -0.190,  -0.965,   0.049
  -0.518,  -0.941,   0.682,  -0.103,  -0.221,  -0.187
  -0.553,  -1.026,   0.533,  -0.035,  -0.085,  -0.150
  -0.430,  -0.754,   0.818,   0.123,   0.271,   0.286
  -0.230,   0.407,   0.644,   0.200,   1.162,  -0.174
  -0.289,   0.341,   0.444,  -0.059,  -0.067,  -0.200
  -0.522,  -0.755,   0.589,  -0.234,  -1.096,   0.145
  -0.556,  -0.806,   0.335,  -0.034,  -0.051,  -0.255
  -0.640,  -1.286,   0.373,  -0.084,  -0.480,   0.038
  -0.339,  -0.712,   0.665,   0.302,   0.574,   0.292
  -0.094,   0.294,   0.917,   0.245,   1.005,   0.252
  -0.174,  -0.202,   0.902,  -0.080,  -0.496,  -0.015
  -0.442,  -0.770,   0.693,  -0.268,  -0.568,  -0.209
  -0.489,  -0.940,   0.302,  -0.047,  -0.170,  -0.391
  -0.454,  -0.727,   0.683,   0.034,   0.212,   0.381
  -0.056,   0.151,   0.656,   0.398,   0.878,  -0.027
  -0.233,   0.223,   0.749,  -0.176,   0.072,   0.093
  -0.323,  -0.650,   0.613,  -0.091,  -0.873,  -0.136
  -0.575,  -1.136,   0.484,  -0.252,  -0.486,  -0.129
  -0.596,  -1.000,   0.398,  -0.021,   0.136,  -0.087
  -0.422,  -0.438,   0.750,   0.174,   0.562,   0.352
  -0.236,   0.388,   0.686,   0.186,   0.827,  -0.064
  -0.312,  -0.110,   0.560,  -0.076,  -0.498,  -0.126
  -0.660,  -1.293,   0.734,  -0.348,  -1.183,   0.174
  -0.609,  -0.776,   0.522,   0.050,   0.517,  -0.212
