x,yz,label
3600,-5.81,2
3840,-6.21,2
3648,-6.22,2
3680,-6.22,2
3728,-6.22,2
3744,-5.81,2
3936,-6.22,2
3776,-6.22,2
3792,-6.64,2
3856,-5.4,2
4353,-6.19,2
3664,-4.88,2
3680,8,0
3760,5.96,0
3776,11.86,1
4225,8.42,1
4064,12.24,1
4097,-5.28,2
4097,-4.5,2
4321,12.35,1
4353,-4.81,2
4417,14.39,1
4897,11.93,1
4481,12.03,1
4817,-4.47,2
4545,-4.47,2
4913,13.49,1
4417,-4.21,2
4048,13.07,1
4737,13.02,1
4785,13.08,1
4657,12.85,1
4721,-8.49,2
4833,-6.89,2
5201,-6.43,2
5153,-8.54,2
3968,33.37,1
4289,-5.07,2
4177,-5.5,2
4289,16.68,1
3856,14.05,1
4545,17.49,1
4048,-5.38,2
3888,230.56,1
4016,15.22,1
4721,-5.45,2
4353,-5.84,2
4145,-5.4,2
4609,228.66,1
3984,-4.71,2
4113,-5.19,2
4000,-5.29,2
3456,230.12,1
3696,-5.14,2
2560,-6.43,2
2816,-6.89,2
2720,-6.43,2
2704,16.84,1
2992,8.62,1
3424,19.4,1
2752,12.3,1
2832,9.74,1
2384,14.85,1
2304,17.53,1
3360,12.71,1
3472,-6.12,2
2896,-6.55,2
3216,-7,2
2880,-6.53,2
3840,-6.12,2
3632,-7.05,2
3216,-7.58,2
2592,28.37,1
3024,15.71,1
3168,-5.86,2
3632,17.51,1
3584,17.36,1
3712,16.99,1
3904,16.48,1
4225,16.63,1
3776,16.7,1
3744,-5.5,2
3856,-5.55,2
3808,17.61,1
4513,-5.19,2
4449,-5.19,2
4497,-5.17,2
4353,-5.17,2
4737,-5.21,2
4417,-5.19,2
4689,15.69,1
4769,16.77,1
3376,18.88,1
3728,-5.45,2
3760,-4.97,2
3888,-4.99,2
4048,-4.93,2
4177,-4.92,2
4305,-4.92,2
4225,-4.92,2
4273,-4.92,2
4321,-4.92,2
4241,-4.93,2
4337,-4.92,2
4449,-4.93,2
4321,-4.92,2
4321,-4.92,2
4513,-4.92,2
4385,-4.92,2
4721,-4.92,2
4417,-5.33,2
4385,-5.35,2
4913,-4.93,2
4433,-5.35,2
4433,-4.88,2
4513,-4.88,2
4609,-4.88,2
4609,-4.87,2
4577,-4.9,2
4881,-4.87,2
4513,-4.88,2
4753,-4.9,2
4625,-4.88,2
4609,-4.88,2
