x,y,z,label
5665,12.04,4.02,0
6225,11.68,3.92,0
6241,11.12,4.35,0
6113,11.32,3.93,0
6241,11.63,4.04,0
5985,11.84,3.99,0
5761,11.68,3.97,0
4625,16.12,6.27,0
4737,19.48,6.63,0
4785,-0.02,6.48,0
4913,-0.02,6.87,0
5073,-0.02,5.96,0
5089,-0.02,5.5,0
5089,15.86,4.86,0
5153,8.04,4.71,0
5425,4.42,3.56,0
5649,4.88,3.16,0
6353,4.95,3.09,0
6305,4.93,3.11,0
5777,5.03,3.11,0
6449,5.46,3.51,0
6241,5.7,3.51,0
7089,6.01,3.51,0
6593,5.96,3.51,0
6529,5.98,3.52,0
6977,5.5,3.52,0
6529,5.5,3.51,0
7105,5.55,3.51,0
6849,6.07,3.51,0
7105,6.07,3.52,0
6785,6.17,3.93,0
6081,7.25,5.64,0
6881,6.68,4.33,0
6737,6.7,4.36,0
6529,6.58,3.93,0
6961,6.89,3.92,0
6897,6.89,4.35,0
7361,6.27,3.93,0
7329,6.32,3.92,0
6817,6.37,3.92,0
7297,7.3,3.92,0
7185,7.61,4.83,0
6625,8.59,9.73,0
6865,7.47,5.38,0
7073,5.81,3.92,0
7185,6.53,3.52,0
7313,6.6,3.99,0
7345,6.27,3.97,0
6945,6.86,3.99,0
7457,6.86,3.99,0
7521,7.22,4.45,0
6929,8.75,4.97,0
6945,11.6,9.36,0
7473,9.85,10.57,0
3136,20.34,6.56,1
3680,19.43,6.56,1
2896,20.27,6.36,1
2640,22.99,7.85,1
2640,24.57,7.23,1
2176,26.96,6.2,1
2432,238.4,6.82,1
2704,24.83,6.55,1
2576,-0.02,-0.02,1
2736,-0.02,-0.02,1
3344,-0.02,9.11,1
3024,-0.02,6.98,1
2848,23.02,6,1
2512,19.11,5.48,1
3168,-0.02,5.58,1
3232,15.29,6.46,1
3456,-0.02,7.66,1
3264,-0.02,4.59,1
2512,24.47,4.81,1
3120,-0.02,4.83,1
3376,-0.02,4.86,1
3168,19.52,6.48,1
3552,16.79,3.92,1
1840,-0.02,8.75,1
2048,21.79,6.87,1
3232,14.59,4.76,1
2816,15.96,4.28,1
2656,20.57,5.88,1
3456,11.63,3.97,1
3920,8.18,3.37,1
3504,14.74,4.04,1
2720,21.13,6.72,1
3152,22.71,5.48,1
4016,22.51,5.79,1
3984,-0.02,5.48,1
3664,232.66,7.04,1
3840,-0.02,5.65,1
3520,-0.02,5.36,1
3744,-0.02,5.79,1
3824,-0.02,5.79,1
3776,-0.02,5.79,1
3600,-0.02,5.79,1
3840,-0.02,6.19,1
3648,-0.02,6.2,1
3680,-0.02,6.2,1
3728,-0.02,6.2,1
3744,-0.02,5.79,1
3936,-0.02,6.2,1
3776,-0.02,6.2,1
3792,-0.02,6.62,1
3856,-0.02,5.38,1
4353,-0.02,6.17,1
3664,-0.02,4.86,1
3680,12.66,4.66,1
3760,8.9,2.94,1
3776,11.84,-0.02,1
4225,15.19,6.77,1
4064,17.41,5.17,1
4097,-0.02,5.26,1
4097,-0.02,4.48,1
4321,17.2,4.85,1
4353,-0.02,4.79,1
4417,19.18,4.79,1
4897,16.79,4.86,1
4481,16.89,4.86,1
4817,-0.02,4.45,1
